pod,itempicks,disttraveled
4,2,228.0
8,3,92.0
15,3,124.0
19,3,60.0
23,2,90.0
33,1,168.0
38,3,120.0
39,1,112.0
47,1,80.0
49,3,36.0
51,2,68.0
58,1,136.0
61,6,190.0
71,2,68.0
73,2,24.0
78,5,132.0
80,3,24.0
94,3,48.0
95,1,48.0
101,2,18.0
103,1,76.0
104,4,66.0
105,4,36.0
129,6,222.0
131,3,346.0
133,2,76.0
137,4,130.0
139,2,108.0
145,1,96.0
151,2,192.0
153,3,96.0
166,2,64.0
167,2,96.0
169,4,130.0
170,2,178.0
174,3,52.0
183,3,234.0
194,2,72.0
195,2,72.0
203,5,112.0
205,3,40.0
209,1,88.0
212,3,100.0
213,2,40.0
226,1,56.0
229,2,56.0
234,3,84.0
246,2,92.0
251,4,90.0
255,2,184.0
258,2,120.0
259,2,92.0
260,3,60.0
261,2,92.0
262,6,140.0
263,7,184.0
265,2,80.0
267,2,80.0
268,2,72.0
269,2,80.0
272,2,48.0
281,2,72.0
283,1,120.0
295,3,136.0
302,2,68.0
308,2,102.0
309,1,102.0
313,1,36.0
318,2,56.0
321,3,80.0
325,2,48.0
331,1,56.0
337,1,44.0
342,2,44.0
343,2,66.0
369,4,184.0
372,2,76.0
375,2,76.0
377,2,108.0
380,4,190.0
390,1,96.0
397,2,144.0
405,5,96.0
406,1,96.0
409,2,68.0
419,1,52.0
423,4,158.0
424,2,84.0
425,3,78.0
430,2,52.0
434,2,40.0
439,3,100.0
441,3,56.0
483,3,60.0
485,5,92.0
487,5,120.0
488,3,184.0
496,2,92.0
510,1,48.0
521,3,48.0
528,2,80.0
531,2,170.0
534,4,136.0
546,2,100.0
549,2,150.0
552,1,72.0
554,3,36.0
557,1,24.0
566,2,36.0
567,6,200.0
577,2,44.0
578,3,152.0
580,4,18.0
583,5,24.0
584,3,12.0
601,2,108.0
603,3,108.0
605,2,190.0
606,2,162.0
625,1,96.0
632,4,240.0
638,1,192.0
645,2,96.0
646,1,128.0
654,5,142.0
659,2,52.0
663,2,52.0
667,2,84.0
676,2,72.0
679,1,40.0
683,1,72.0
688,1,40.0
689,3,260.0
691,2,104.0
693,1,72.0
695,2,40.0
710,3,90.0
711,2,90.0
717,3,90.0
